"charset","UTF-8",
"filename","TopoExportData-2017_08_24-15_52_10.csv",
"exporttime","08/24/2017 15:52:45",
"exportuser","admin",
"total","1490",



"class","parentdn","path","label","alias","dn","type","x","y","longitude","latitude","icon","background","category","memo",
"ne","NE=418","/Physical Root/EASY_DEPLOYMENT/LALXA33024_Miami_2_Gleem/Cabinet No.=0, Subrack No.=82, Slot No.=0,RRU3971_0-82-0","Cabinet No.=0, Subrack No.=82, Slot No.=0,RRU3971_0-82-0","","NE=418,eNodeBRRU=0_0_82","RRU","400.0","440.0","180D0'0""E","90D0'0""N","image/iconN/node_rru.gif","","0","Cabinet No.=0, Subrack No.=82, Slot No.=0,RRU3971_0-82-0",
"ne","NE=417","/Physical Root/EASY_DEPLOYMENT/LALXA13065_Alex-Site_32/Cabinet No.=0, Subrack No.=70, Slot No.=0,RRU3262_0-70-0","Cabinet No.=0, Subrack No.=70, Slot No.=0,RRU3262_0-70-0","","NE=417,eNodeBRRU=0_0_70","RRU","400.0","240.0","180D0'0""E","90D0'0""N","image/iconN/node_rru.gif","","0","Cabinet No.=0, Subrack No.=70, Slot No.=0,RRU3262_0-70-0",
"ne","NE=417","/Physical Root/EASY_DEPLOYMENT/LALXA13065_Alex-Site_32/Cabinet No.=0, Subrack No.=71, Slot No.=0,RRU3262_0-71-0","Cabinet No.=0, Subrack No.=71, Slot No.=0,RRU3262_0-71-0","","NE=417,eNodeBRRU=0_0_71","RRU","400.0","280.0","180D0'0""E","90D0'0""N","image/iconN/node_rru.gif","","0","Cabinet No.=0, Subrack No.=71, Slot No.=0,RRU3262_0-71-0",
"ne","NE=417","/Physical Root/EASY_DEPLOYMENT/LALXA13065_Alex-Site_32/Cabinet No.=0, Subrack No.=72, Slot No.=0,RRU3262_0-72-0","Cabinet No.=0, Subrack No.=72, Slot No.=0,RRU3262_0-72-0","","NE=417,eNodeBRRU=0_0_72","RRU","400.0","320.0","180D0'0""E","90D0'0""N","image/iconN/node_rru.gif","","0","Cabinet No.=0, Subrack No.=72, Slot No.=0,RRU3262_0-72-0",
"ne","NE=417","/Physical Root/EASY_DEPLOYMENT/LALXA13065_Alex-Site_32/Cabinet No.=0, Subrack No.=80, Slot No.=0,RRU3971_0-80-0","Cabinet No.=0, Subrack No.=80, Slot No.=0,RRU3971_0-80-0","","NE=417,eNodeBRRU=0_0_80","RRU","400.0","360.0","180D0'0""E","90D0'0""N","image/iconN/node_rru.gif","","0","Cabinet No.=0, Subrack No.=80, Slot No.=0,RRU3971_0-80-0",
"ne","NE=417","/Physical Root/EASY_DEPLOYMENT/LALXA13065_Alex-Site_32/Cabinet No.=0, Subrack No.=81, Slot No.=0,RRU3971_0-81-0","Cabinet No.=0, Subrack No.=81, Slot No.=0,RRU3971_0-81-0","","NE=417,eNodeBRRU=0_0_81","RRU","400.0","400.0","180D0'0""E","90D0'0""N","image/iconN/node_rru.gif","","0","Cabinet No.=0, Subrack No.=81, Slot No.=0,RRU3971_0-81-0",
"ne","NE=417","/Physical Root/EASY_DEPLOYMENT/LALXA13065_Alex-Site_32/Cabinet No.=0, Subrack No.=82, Slot No.=0,RRU3971_0-82-0","Cabinet No.=0, Subrack No.=82, Slot No.=0,RRU3971_0-82-0","","NE=417,eNodeBRRU=0_0_82","RRU","400.0","440.0","180D0'0""E","90D0'0""N","image/iconN/node_rru.gif","","0","Cabinet No.=0, Subrack No.=82, Slot No.=0,RRU3971_0-82-0",
"ne","NE=396","/Physical Root/EASY_DEPLOYMENT/LCAIW30307_Site_76/Cabinet No.=0, Subrack No.=70, Slot No.=0,RRU3262_0-70-0","Cabinet No.=0, Subrack No.=70, Slot No.=0,RRU3262_0-70-0","","NE=396,eNodeBRRU=0_0_70","RRU","400.0","240.0","180D0'0""E","90D0'0""N","image/iconN/node_rru.gif","","0","Cabinet No.=0, Subrack No.=70, Slot No.=0,RRU3262_0-70-0",
"ne","NE=396","/Physical Root/EASY_DEPLOYMENT/LCAIW30307_Site_76/Cabinet No.=0, Subrack No.=71, Slot No.=0,RRU3262_0-71-0","Cabinet No.=0, Subrack No.=71, Slot No.=0,RRU3262_0-71-0","","NE=396,eNodeBRRU=0_0_71","RRU","400.0","280.0","180D0'0""E","90D0'0""N","image/iconN/node_rru.gif","","0","Cabinet No.=0, Subrack No.=71, Slot No.=0,RRU3262_0-71-0",
"ne","NE=396","/Physical Root/EASY_DEPLOYMENT/LCAIW30307_Site_76/Cabinet No.=0, Subrack No.=72, Slot No.=0,RRU3262_0-72-0","Cabinet No.=0, Subrack No.=72, Slot No.=0,RRU3262_0-72-0","","NE=396,eNodeBRRU=0_0_72","RRU","400.0","320.0","180D0'0""E","90D0'0""N","image/iconN/node_rru.gif","","0","Cabinet No.=0, Subrack No.=72, Slot No.=0,RRU3262_0-72-0",
